pH,Hardness (mg/L),Solids (ppm),Chloramines (ppm),Sulfate (mg/L),Conductivity (μS/cm),Organic Carbon (ppm),Trihalomethanes (μg/L),Turbidity (NTU),Potable,Chemicals
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,No,483.72366687699997
9.092223456000001,181.10150919999998,17978.98634,6.546599973999999,310.1357375,398.41081339999994,11.55827944,31.99799273,4.075075425,No,360.238609644
5.584086638,188.3133238,28748.687739999998,7.544868789,326.67836289999997,280.4679159,8.39973464,54.91786184,2.5597082280000003,No,397.540828169
10.22386216,248.0717353,28749.716539999998,7.5134084660000005,393.66339550000004,283.6516335,13.78969532,84.60355617,2.672988737,No,499.57005545600003
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,No,383.03490554599995
11.18028447,227.2314692,25484.50849,9.077200017000001,404.04163470000003,563.8854815000001,17.92780641,71.97660103,4.370561937,No,503.023242157
7.360640106,165.52079730000003,32452.614410000002,7.550700907,326.62435350000004,425.3834195,15.58681044,78.74001566,3.662291783,No,428.50188050700007
7.119824384,156.7049933,18730.81365,3.6060360910000004,282.3440505,347.71502730000003,15.92953591,79.50077834,3.445756223,No,381.38040084100004
6.347271761,186.73288069999998,41065.23476,9.629596276000001,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,No,460.728681956
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,No,490.10020951599995
7.371050302,214.4966105,25630.320040000002,4.43266929,335.7544386,469.91455149999996,12.50916394,62.79727715,2.560299148,No,415.49354898
6.660212026,168.2837469,30944.363589999997,5.858769131,310.9308583,523.6712974999999,17.88423519,77.04231805,3.7497012410000004,No,411.716180671
5.4003017810000005,140.7390623,17266.593419999997,10.05685248,328.35824069999995,472.8740733,11.25638117,56.93190645,4.82478639,No,406.6033807999999
6.514415092999999,198.7673513,21218.702869999997,8.67093692,323.59634900000003,413.29045010000004,14.89999957,79.84784281,5.200885077,No,427.0151283
3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,No,436.879652691
7.181448581000001,209.6256005,15196.22999,5.9946786460000006,338.3364311,342.1112863,7.922598333,71.53795326,5.0888599889999995,No,423.79166133900003
10.43329098,117.79122959999998,22326.89205,8.161504811,307.70750860000004,412.9868338,12.89070856,65.73347839,5.0573105169999995,No,394.49320036100005
7.414148196,235.04453450000003,32555.852539999996,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725,3.160624468,No,448.755380844
5.115817064,191.952743,19620.54533,6.060712995,323.8363839,441.74837930000007,10.96648615,49.23823132,3.902088768,No,390.101814365
